0.503,0.308,0.612,0.187
0.136,0.279,0.246,0.087
0.08,0.279,0.23,0.076
0.072,0.245,0.131,0.071
0.003,0.267,0.469,0.089
0.003,0.267,0.469,0.089
0,0.24,0.088,0.032
0,0.267,0.469,0.069
0,0.083,0.154,0.077
0,0.25,0.142,0.031
0,0.083,0.154,0.077
0,0.261,0.469,0.084
0,0.25,0.142,0.031
